actors,worlwide_gross_income
 Patrick Warburton," 2,674,737,780.00 "
 Jemaine Clement," 2,671,870,033.00 "
 Walton Goggins," 2,671,547,333.00 "
 Cillian Murphy," 2,666,310,071.00 "
 Anna Faris," 2,663,724,719.00 "
 Zendaya," 2,661,221,426.00 "
Keanu Reeves," 2,657,921,486.00 "
 Patricia Clarkson," 2,655,796,348.00 "
Julia Roberts," 2,652,885,005.00 "
 Imelda Staunton," 2,649,863,160.00 "
Tobey Maguire," 2,647,218,147.00 "
 Andy Garcia," 2,645,673,371.00 "
 David Strathairn," 2,643,647,180.00 "
 Ken Watanabe," 2,643,522,738.00 "
 Hank Azaria," 2,643,165,597.00 "
 Jimmy Smits," 2,643,152,652.00 "
 Julia Roberts," 2,640,071,291.00 "
 Colm Feore," 2,638,647,881.00 "
 Kellan Lutz," 2,638,280,177.00 "
 Jeff Daniels," 2,620,546,556.00 "
 Ben Stiller," 2,619,833,612.00 "
 Alfre Woodard," 2,619,421,282.00 "
 Bruce McGill," 2,617,677,188.00 "
 Dylan Baker," 2,614,557,570.00 "
 Maurice LaMarche," 2,609,790,073.00 "
 Richard Schiff," 2,606,035,926.00 "
 Anthony Anderson," 2,604,805,200.00 "
 Billy Connolly," 2,604,800,124.00 "
 Margot Robbie," 2,598,951,995.00 "
 Kevin Kline," 2,598,673,433.00 "
 Charlie Day," 2,587,083,299.00 "
 Numan Acar," 2,582,155,705.00 "
 Michelle Williams," 2,578,313,374.00 "
 Anna Kendrick," 2,577,615,261.00 "
 Henry Cavill," 2,566,126,474.00 "
 Tony Goldwyn," 2,564,869,028.00 "
 Javier Bardem," 2,563,682,336.00 "
 Rupert Everett," 2,561,313,545.00 "
 Tadanobu Asano," 2,552,381,481.00 "
 Seann William Scott," 2,552,054,502.00 "
 Peter Facinelli," 2,549,001,988.00 "
 Dana Gaier," 2,548,679,399.00 "
 Helen McCrory," 2,547,731,058.00 "
 Kerry Washington," 2,542,772,217.00 "
 Edie McClurg," 2,541,553,109.00 "
Kristen Stewart," 2,539,492,334.00 "
 Marcia Gay Harden," 2,537,630,011.00 "
 Joe Pantoliano," 2,536,145,090.00 "
 James Badge Dale," 2,534,472,188.00 "
 Maggie Smith," 2,531,074,094.00 "
 Richard E. Grant," 2,530,716,527.00 "
 Annie Potts," 2,527,326,681.00 "
 Meryl Streep," 2,519,272,947.00 "
 Chris Ellis," 2,516,358,933.00 "
 Jason Fricchione," 2,516,224,751.00 "
 Terry Crews," 2,512,918,791.00 "
 Karan Soni," 2,507,746,139.00 "
 Dolph Lundgren," 2,504,981,622.00 "
 Laurie Metcalf," 2,504,137,598.00 "
 Ewen Bremner," 2,490,806,218.00 "
 Drew Barrymore," 2,490,004,612.00 "
 Ted Raimi," 2,479,806,616.00 "
 Thomas Kretschmann," 2,477,579,118.00 "
 Matt Damon," 2,474,163,894.00 "
 Diane Keaton," 2,470,003,919.00 "
 Craig Ferguson," 2,467,280,632.00 "
 Elizabeth Reaser," 2,465,078,619.00 "
 Nicholas Hoult," 2,465,059,547.00 "
 David Wenham," 2,464,019,381.00 "
Chris Evans," 2,463,954,479.00 "
 Glenn Close," 2,462,335,784.00 "
Kevin Costner," 2,456,003,998.00 "
 Connie Nielsen," 2,455,607,505.00 "
 Randall Park," 2,442,097,326.00 "
Bradley Cooper," 2,435,246,698.00 "
 Emily Blunt," 2,434,908,071.00 "
 Mindy Kaling," 2,425,317,363.00 "
 John Cho," 2,424,109,138.00 "
 Russell Brand," 2,422,824,909.00 "
 Harvey Keitel," 2,421,464,733.00 "
 Stephen Graham," 2,419,854,755.00 "
 Vin Diesel," 2,416,262,731.00 "
James McAvoy," 2,411,976,194.00 "
 Rob Riggle," 2,409,084,740.00 "
 Clancy Brown," 2,407,231,352.00 "
 Viola Davis," 2,406,819,819.00 "
 Kelly Marie Tran," 2,406,684,435.00 "
 Amber Heard," 2,399,627,246.00 "
 James McAvoy," 2,398,828,820.00 "
 Jessica Chastain," 2,395,309,135.00 "
Will Ferrell," 2,394,270,515.00 "
 Luis Guzmán," 2,393,889,871.00 "
 Aaron Eckhart," 2,378,807,754.00 "
 Justin Bartha," 2,370,795,081.00 "
 Nasim Pedrad," 2,370,300,274.00 "
 Lee Pace," 2,368,670,268.00 "
 Jean Reno," 2,368,381,598.00 "
 Jesper Christensen," 2,357,925,100.00 "
 Ned Beatty," 2,356,993,663.00 "
 Ty Burrell," 2,354,827,586.00 "
 Robert Patrick," 2,354,371,450.00 "
 Jesse Eisenberg," 2,351,124,174.00 "
 Emily Mortimer," 2,346,866,909.00 "
 Crispin Glover," 2,346,397,211.00 "
 Jack Angel," 2,341,854,147.00 "
 Jennifer Aniston," 2,338,249,330.00 "
 Scott Glenn," 2,338,230,863.00 "
 Jonathan Banks," 2,337,465,431.00 "
 Russell Crowe," 2,336,902,243.00 "
 Dave Franco," 2,334,690,590.00 "
 Brian Tee," 2,330,853,538.00 "
 Common," 2,327,847,577.00 "
 James Rebhorn," 2,324,727,827.00 "
 Channing Tatum," 2,323,912,175.00 "
 Robin Atkin Downes," 2,321,138,571.00 "
 John Michael Higgins," 2,316,646,664.00 "
 Michael Papajohn," 2,315,964,302.00 "
 Sung Kang," 2,314,599,142.00 "
 Dennis Haysbert," 2,313,600,418.00 "
 John Krasinski," 2,313,348,164.00 "
 Rosario Dawson," 2,312,730,694.00 "
 Ed O'Neill," 2,311,566,593.00 "
Ewan McGregor," 2,303,195,856.00 "
 Vera Farmiga," 2,299,611,005.00 "
 Taylor Lautner," 2,295,842,938.00 "
 James Remar," 2,291,320,870.00 "
 Toni Collette," 2,289,456,494.00 "
 Catherine O'Hara," 2,288,499,255.00 "
 Martin Short," 2,286,846,515.00 "
 Kyle Chandler," 2,284,011,919.00 "
 Guy Pearce," 2,282,942,809.00 "
 Julia Stiles," 2,277,256,855.00 "
Robin Williams," 2,274,720,119.00 "
 Kevin Spacey," 2,272,652,474.00 "
